time (s),motor position (nm),sensor position (nm)
8.187591295,49778398,3445
8.192487747,49825876,4349
8.197656679,49850328,3321
8.202346739,49682381,4326
8.20746141,49859376,4019
8.212639102,49985637,2934
8.217780915,50062965,4096
8.222548317,50121234,4710
8.227722592,50173980,4748
8.233126251,50225442,4711
8.237484019,50276479,5706
8.242375989,50326407,4665
8.247448957,50377796,5311
8.252432596,50428311,3793
8.257437625,50479088,4861
8.262622037,50528970,5388
8.267549023,50578910,5868
8.272626502,50629680,4215
8.277549482,50679019,5260
8.282503377,50730152,3859
8.287460095,50781185,3639
8.292642826,50829822,3905
8.297456335,50880795,4563
8.302513805,50930431,3709
8.307475574,50980237,3516
8.31261227,51031018,4113
8.317538665,51080505,3887
8.32258968,51129992,3231
8.327590233,51180744,3794
8.33250166,51229282,4528
8.337650265,51280186,4722
8.342625885,51329508,4490
8.347507218,51380005,4667
8.352601575,51429229,5185
8.357567853,51480244,4705
8.362493963,51528772,5521
8.367667144,51579685,4417
8.372610822,51629321,3563
8.377533737,51679034,3818
8.382591708,51725892,4026
8.387390698,51743229,4439
8.392676479,51593625,3062
8.397444854,51775912,3446
8.402715594,51892113,3881
8.407507243,51964635,2213
8.412532311,52020785,2639
8.417504077,52073814,4839
8.422493283,52125776,3690
8.427485433,52176288,4721
8.432520784,52226811,3529
8.437435812,52277165,3908
